INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT;E_USE_PLAN
16;06.02.2020 0:00;1;0;104868;105974
17;06.02.2020 0:00;1;0;107482;107928
18;06.02.2020 0:00;1;0;106903;107124
19;06.02.2020 0:00;1;0;104868;105402
20;06.02.2020 0:00;1;0;102787;103361
21;06.02.2020 0:00;1;0;99732;100086
22;06.02.2020 0:00;1;0;95314;95813
23;06.02.2020 0:00;1;0;92268;92238
0;07.02.2020 0:00;1;0;89946;90244
1;07.02.2020 0:00;1;0;88470;89075
2;07.02.2020 0:00;1;0;88078;88473
3;07.02.2020 0:00;1;0;88851;89100
4;07.02.2020 0:00;1;0;91048;91266
5;07.02.2020 0:00;1;0;95074;95445
6;07.02.2020 0:00;1;0;100278;100988
7;07.02.2020 0:00;1;0;104217;105153
8;07.02.2020 0:00;1;0;107543;107982
9;07.02.2020 0:00;1;0;108071;108640
10;07.02.2020 0:00;1;0;107213;107793
11;07.02.2020 0:00;1;0;107050;107060
12;07.02.2020 0:00;1;0;106580;106891
13;07.02.2020 0:00;1;0;106268;107001
14;07.02.2020 0:00;1;0;105748;107070
15;07.02.2020 0:00;1;0;105833;107263
16;07.02.2020 0:00;1;0;106443;107369
17;07.02.2020 0:00;1;0;107996;108767
18;07.02.2020 0:00;1;0;107788;108450
19;07.02.2020 0:00;1;0;106463;106612
20;07.02.2020 0:00;1;0;104091;104390
21;07.02.2020 0:00;1;0;101193;101277
22;07.02.2020 0:00;1;0;97415;96992
23;07.02.2020 0:00;1;0;93958;93900
0;08.02.2020 0:00;1;0;91712;91688
1;08.02.2020 0:00;1;0;90389;90692
2;08.02.2020 0:00;1;0;89556;90001
3;08.02.2020 0:00;1;0;89764;90166
4;08.02.2020 0:00;1;0;90753;91000
5;08.02.2020 0:00;1;0;92940;93003
6;08.02.2020 0:00;1;0;95858;96091
7;08.02.2020 0:00;1;0;98282;99325
8;08.02.2020 0:00;1;0;102038;102790
9;08.02.2020 0:00;1;0;104294;104460
10;08.02.2020 0:00;1;0;104070;105082
11;08.02.2020 0:00;1;0;103955;104799
12;08.02.2020 0:00;1;0;102953;104174
13;08.02.2020 0:00;1;0;102149;103865
14;08.02.2020 0:00;1;0;102071;103030
15;08.02.2020 0:00;1;0;102717;103681
16;08.02.2020 0:00;1;0;103684;104635
17;08.02.2020 0:00;1;0;106225;106719
18;08.02.2020 0:00;1;0;105856;106552
19;08.02.2020 0:00;1;0;104200;104906
20;08.02.2020 0:00;1;0;102499;103261
21;08.02.2020 0:00;1;0;99867;100561
22;08.02.2020 0:00;1;0;96435;96764
23;08.02.2020 0:00;1;0;93840;93773
0;09.02.2020 0:00;1;0;91572;91804
1;09.02.2020 0:00;1;0;89879;90379
2;09.02.2020 0:00;1;0;89211;89532
3;09.02.2020 0:00;1;0;89538;89646
4;09.02.2020 0:00;1;0;89924;90480
5;09.02.2020 0:00;1;0;91744;92192
6;09.02.2020 0:00;1;0;93801;94722
7;09.02.2020 0:00;1;0;95983;97223
8;09.02.2020 0:00;1;0;99426;100178
9;09.02.2020 0:00;1;0;101746;101897
10;09.02.2020 0:00;1;0;102012;102802
11;09.02.2020 0:00;1;0;101780;103260
12;09.02.2020 0:00;1;0;101247;102417
13;09.02.2020 0:00;1;0;101058;101922
14;09.02.2020 0:00;1;0;101453;101837
15;09.02.2020 0:00;1;0;102223;102561
16;09.02.2020 0:00;1;0;103280;104261
17;09.02.2020 0:00;1;0;105920;106644
18;09.02.2020 0:00;1;0;106213;106311
19;09.02.2020 0:00;1;0;104973;104900
20;09.02.2020 0:00;1;0;102308;103273
21;09.02.2020 0:00;1;0;99895;100532
22;09.02.2020 0:00;1;0;95957;96240
23;09.02.2020 0:00;1;0;92620;93166
0;10.02.2020 0:00;1;0;90284;91067
1;10.02.2020 0:00;1;0;89148;89313
2;10.02.2020 0:00;1;0;89054;88901
3;10.02.2020 0:00;1;0;89329;89512
4;10.02.2020 0:00;1;0;91816;91826
5;10.02.2020 0:00;1;0;95735;96024
6;10.02.2020 0:00;1;0;101747;101596
7;10.02.2020 0:00;1;0;105327;106167
8;10.02.2020 0:00;1;0;109025;108918
9;10.02.2020 0:00;1;0;109374;109579
10;10.02.2020 0:00;1;0;108786;109251
11;10.02.2020 0:00;1;0;107570;108354
12;10.02.2020 0:00;1;0;106985;107867
13;10.02.2020 0:00;1;0;106783;107447
14;10.02.2020 0:00;1;0;106563;107164
15;10.02.2020 0:00;1;0;106098;107143
