INTERVAL;M_DATE;PRICE_ZONE_ID;POWER_SYS_ID;E_USE_FACT
20;10.11.2020 0:00:00;1;0;95258
21;10.11.2020 0:00:00;1;0;91925
22;10.11.2020 0:00:00;1;0;87823
23;10.11.2020 0:00:00;1;0;84484
0;11.11.2020 0:00:00;1;0;82434
1;11.11.2020 0:00:00;1;0;81282
2;11.11.2020 0:00:00;1;0;81017
3;11.11.2020 0:00:00;1;0;81801
4;11.11.2020 0:00:00;1;0;83260
5;11.11.2020 0:00:00;1;0;87128
6;11.11.2020 0:00:00;1;0;92256
7;11.11.2020 0:00:00;1;0;95572
8;11.11.2020 0:00:00;1;0;98652
9;11.11.2020 0:00:00;1;0;99899
10;11.11.2020 0:00:00;1;0;99697
11;11.11.2020 0:00:00;1;0;98933
12;11.11.2020 0:00:00;1;0;99359
13;11.11.2020 0:00:00;1;0;99247
14;11.11.2020 0:00:00;1;0;99076
15;11.11.2020 0:00:00;1;0;99979
16;11.11.2020 0:00:00;1;0;101497
17;11.11.2020 0:00:00;1;0;101607
18;11.11.2020 0:00:00;1;0;100593
19;11.11.2020 0:00:00;1;0;97876
20;11.11.2020 0:00:00;1;0;96320
21;11.11.2020 0:00:00;1;0;92523
22;11.11.2020 0:00:00;1;0;88473
23;11.11.2020 0:00:00;1;0;85466
0;12.11.2020 0:00:00;1;0;83321
1;12.11.2020 0:00:00;1;0;82269
2;12.11.2020 0:00:00;1;0;81681
3;12.11.2020 0:00:00;1;0;81641
4;12.11.2020 0:00:00;1;0;83721
5;12.11.2020 0:00:00;1;0;87637
6;12.11.2020 0:00:00;1;0;92920
7;12.11.2020 0:00:00;1;0;96297
8;12.11.2020 0:00:00;1;0;99312
9;12.11.2020 0:00:00;1;0;100399
10;12.11.2020 0:00:00;1;0;99940
11;12.11.2020 0:00:00;1;0;99462
12;12.11.2020 0:00:00;1;0;99347
13;12.11.2020 0:00:00;1;0;99800
14;12.11.2020 0:00:00;1;0;99823
15;12.11.2020 0:00:00;1;0;100764
16;12.11.2020 0:00:00;1;0;102390
17;12.11.2020 0:00:00;1;0;102296
18;12.11.2020 0:00:00;1;0;101424
19;12.11.2020 0:00:00;1;0;98916
20;12.11.2020 0:00:00;1;0;97095
21;12.11.2020 0:00:00;1;0;93927
22;12.11.2020 0:00:00;1;0;89540
23;12.11.2020 0:00:00;1;0;86132
0;13.11.2020 0:00:00;1;0;84155
1;13.11.2020 0:00:00;1;0;82937
2;13.11.2020 0:00:00;1;0;82737
3;13.11.2020 0:00:00;1;0;83136
4;13.11.2020 0:00:00;1;0;84830
5;13.11.2020 0:00:00;1;0;88850
6;13.11.2020 0:00:00;1;0;93391
7;13.11.2020 0:00:00;1;0;97114
8;13.11.2020 0:00:00;1;0;100339
